complaint,department
High voltage transformer oil leaking onto the public pedestrian sidewalk,Electricity
Streetlights in our avenue flickers rapidly causing headache and poor visibility,Electricity
Exposed electric wire joint wrapped with loose cello tape on the lamppost,Electricity
Repeated phase failure causing single phase supply throughout our residential block,Electricity
Blown street transformer fuse has left 50 houses without electricity since morning,Electricity
Light fixture fallen off the lamppost and hanging by a single power cord,Electricity
Transformer cage lock missing allowing stray animals to enter danger zone,Electricity
Streetlight timer is out of sync turning on at midnight and off at 3 AM,Electricity
High tension cable sagging over residential terrace violating clearance safety,Electricity
Sparking in the underground feeder box near ATM counter on main road,Electricity
Damaged electric pole base rusted through and leaning over a parked vehicle,Electricity
Temporary electrical wiring tied loosely around trees for commercial hoardings,Electricity
Streetlights on the flyover are completely non-functional for 2 kilometers,Electricity
Neutral line disconnection caused 380V surge damaging electronic equipment,Electricity
Ruptured electric insulation on overhead service drop wire near balcony,Electricity
Power tripping every 10 minutes due to overloaded local transformer capacity,Electricity
Garbage has not been collected for four days in our residential layout,Sanitation
There is a large amount of waste dumped illegally near the government school,Sanitation
The neighborhood community trash bin is overflowing onto the sidewalk,Sanitation
Rotting animal carcass lying unattended by the roadside generating stench,Sanitation
Debris and construction rubble dumped on the public pathway blocking walkers,Sanitation
Sanitation workers sweeping dirt into storm gutters instead of collecting it,Sanitation
Open garbage dump attracting stray dogs and cattle spreading litter everywhere,Sanitation
Organic food waste from wedding hall dumped into empty residential plot,Sanitation
Compactor truck leaking stinking leachate liquid all along the residential avenue,Sanitation
Bio-medical waste and syringes dumped irresponsibly behind the clinic building,Sanitation
Plastic waste accumulated around the community lake choking the shoreline,Sanitation
Door to door waste collection cart has not visited our street for a week,Sanitation
Commercial restaurants dumping cooking oil and raw slaughter waste on public road,Sanitation
Dead tree trunks and garden clippings piled on pavement for two weeks,Sanitation
Garbage burning on the empty plot causing severe respiratory issues for residents,Sanitation
Overflowing dustbins in the public garden spilling trash onto the lawn,Sanitation
Poultry waste dumped in open stormwater channel causing unbearable smell,Sanitation
Street sweeping has been neglected for over a month in our sub-locality,Sanitation
"Disposed mattresses, broken furniture and bulky waste blocking the alleyway",Sanitation
Hazardous e-waste dumped by local repair shop in the public garbage container,Sanitation
Fish market vendors leaving rotting waste on the roadside after closing hours,Sanitation
"Public litter bins are damaged, rusted without bottoms and unusable",Sanitation
Industrial sludge unloaded in the dead of night along the ring road bypass,Sanitation
Dumpster lid broken allowing rain to saturate rotting garbage creating flies,Sanitation
Segregated dry and wet waste being mixed together into the truck by loaders,Sanitation
No dustbins installed in the newly developed commercial market street,Sanitation
Sanitation workers demanding unofficial tips to collect domestic garbage,Sanitation
Illegal dumping of poultry feathers and blood near the children playground,Sanitation
Foul odor from neglected waste collection center making houses uninhabitable,Sanitation
Discarded paint cans and chemical containers dumped near municipal park,Sanitation
The drainage system is completely blocked and sewage is backing up into toilets,Drainage
Drain water is overflowing onto the road creating a filthy pool in front of shops,Drainage
Manhole cover is cracked and sewage water is bubbling out onto the street,Drainage
Heavy rainwater flooding our basement due to clogged roadside storm gutters,Drainage
Underground sewer line collapsed causing a 2-foot sewage stream on 3rd cross,Drainage
Stormwater drain blocked by construction sand and cement debris,Drainage
Broken concrete slab over storm channel poses a major falling hazard for children,Drainage
Sewage overflowing from municipal inspection chamber into residential compound,Drainage
Drainage desilting work done last week left wet black sludge piled on road,Drainage
Foul smelling sewer gases entering apartments from broken municipal drain vent,Drainage
Rainwater harvesting drain inlet choked with dry leaves and plastic wrappers,Drainage
Storm drain retaining wall has collapsed threatening nearby house foundation,Drainage
Illegal domestic sewer connection piped directly into open roadside storm drain,Drainage
Sewage stagnation for 3 weeks in open canal breeding millions of mosquitoes,Drainage
Open manhole on the pedestrian walkway without any lid or safety cordon,Drainage
Drainage pipe clogged by tree roots penetrating through municipal sewer line,Drainage
Roadside storm gutter filled with silt causing knee-deep waterlogging in rain,Drainage
Sewage overflowing into groundwater recharge pit contaminating local water table,Drainage
Underground drain pipe leaking wastewater into the drinking water line trench,Drainage
Stormwater drain grating stolen leaving dangerous foot-trap for pedestrians,Drainage
Heavy sludge accumulation in the culvert preventing natural water discharge,Drainage
Sewage pump station breakdown causing entire sector sewer network to back up,Drainage
Overflowing open canal spilling wastewater across the crossroad junction,Drainage
Concrete cover of the sewer chamber caved in under a delivery truck,Drainage
Drainage culvert under the railway track blocked by discarded plastic sacks,Drainage
Residential storm drain connected wrongly causing backflow during high tide,Drainage
Standing greywater pool in the cul-de-sac because road has no drain slope,Drainage
Grease trap blockage from local hotels choking the municipal sewer line,Drainage
Wastewater gushing out from inspection chamber during light rainfall,Drainage
Uncovered drain channel adjacent to public primary school poses drowning risk,Drainage
Traffic signal at the 5th cross junction is stuck on red causing huge gridlock,Traffic
Pedestrian crossing zebra signal timer is too short for elderly to cross safely,Traffic
Major road direction signboard has fallen down and is blocking the left lane,Traffic
Illegal parking of private tourist buses occupying two lanes on main artery,Traffic
Speed limit and school zone warning signboards are missing near the academy,Traffic
Traffic lights are completely blank without power at the busy bypass cross,Traffic
U-turn divider gap is too narrow causing heavy traffic congestion and accidents,Traffic
Road divider median damaged and broken concrete blocks lying on fast lane,Traffic
Blinkers and amber warning lights non-functional at the accident prone blind curve,Traffic
Vehicles driving on the wrong side of one-way road due to missing No-Entry sign,Traffic
Traffic camera pole leaning over the road after hit by an oversized truck,Traffic
Zebra crossing road paint has completely faded out making crossing hazardous,Traffic
Encroachment of pedestrian footpath by commercial shop display stands,Traffic
Missing lane markings and reflective cat eyes causing disorientation at night,Traffic
Auto rickshaws blocking the bus bay preventing city buses from pulling over,Traffic
Traffic signal sequence corrupted with both directions showing green simultaneously,Traffic
Damaged crash barrier on the flyover ramp needs urgent structural repair,Traffic
Road signage obscured by overgrown roadside tree branches at major intersection,Traffic
Unauthorized speed bumps constructed by locals without yellow retro-reflective paint,Traffic
Heavy commercial trucks violating daytime ban hours causing city traffic chaos,Traffic
Pedestrian underpass lighting broken making it unsafe to cross underneath road,Traffic
Traffic bollards uprooted and left scattered on the bicycle priority lane,Traffic
Traffic diversion signage missing ahead of the closed bridge construction site,Traffic
Countdown timer on traffic light broken showing blank display at busy junction,Traffic
Missing convex mirror on blind hairpin turn causing near head-on collisions,Traffic
Illegal taxi stand encroaching upon the entry ramp of the public expressway,Traffic
Overhead gantry sign damaged by storm wind hanging loose above vehicles,Traffic
Rumble strips worn down completely before the railway level crossing,Traffic
Traffic light pole damaged by vehicle collision and tied temporarily with ropes,Traffic
No pedestrian crossing signal on 6-lane road outside the central railway terminus,Traffic
Severe mosquito breeding in stagnant water pond behind the municipal market,Public Health
Stray dog menace in our neighborhood with multiple biting incidents this week,Public Health
Foul chemical fumes emitted from unauthorized plastic recycling unit at night,Public Health
Food stall operating without hygiene license selling contaminated street food,Public Health
Dead rodents found rotting in the community open space causing disease scare,Public Health
Outbreak of dengue and viral fever reported in ward 11 needs urgent fogging,Public Health
Uncovered water coolers in government office building breeding Aedes larvae,Public Health
Stagnant sewage puddle near anganwadi center breeding swarms of flies,Public Health
Illegal slaughtering of meat on open sidewalk attracting vultures and pests,Public Health
"Public toilet facility in bus stand is filthy, choked and health hazard",Public Health
Uncontrolled stray pig population feeding in open sewage lines in our ward,Public Health
Industrial effluent discharged into the public park groundwater recharge pit,Public Health
Pigeon droppings accumulation on historical public building causing asthma risk,Public Health
Vector-borne disease outbreak in our slum colony requires medical inspection camp,Public Health
Open fish market operating with zero drainage causing intense fly infestation,Public Health
Unauthorized medical clinic dispensing expired pharmaceuticals to local patients,Public Health
Stagnant rainwater on empty plot for 3 months breeding vectors of malaria,Public Health
Anti-larval spray operation has not been conducted in our locality this season,Public Health
Food poisoning incident at community hostel needs municipal food inspection,Public Health
Stray monkey troop attacking school children in the botanical garden premises,Public Health
Asbestos dust from broken roof of abandoned factory blowing into residential area,Public Health
Public urinal discharging urine directly onto the pedestrian footpath,Public Health
Excessive pesticide spraying by private garden contractor affecting pet health,Public Health
Rabies suspected in aggressive stray dog roaming near community clinic,Public Health
Contaminated well water used by local street food vendors to wash utensils,Public Health
Fumigation needed in sector 8 after 6 confirmed cases of chikungunya,Public Health
Open dumping of medical bandages and masks outside diagnostic laboratory,Public Health
Stench from poultry farm within 100 meters of residential school campus,Public Health
Flies swarm in domestic kitchens due to open compost pit in public park,Public Health
Overcrowded public slaughterhouse operating in gross violation of sanitary norms,Public Health
Children playground swings and slides are broken with sharp metal edges in public park,Municipal Services
Large dry tree branch is touching high tension cable and needs municipal trimming,Municipal Services
Public park walking track lights are broken and garden gate is off its hinges,Municipal Services
Dead eucalyptus tree leaning precariously toward residential rooftop,Municipal Services
Community hall municipal booking system showing payment errors and double bookings,Municipal Services
Gym equipment installed in the open public park is rusted and completely jammed,Municipal Services
Overgrown weeds and thorny bushes on municipal plot harboring snakes,Municipal Services
Public library building has leaking roof and damaged reading room chairs,Municipal Services
Crematorium gas furnace is out of order forcing grieving families to wait,Municipal Services
Statue in the town square has been vandalized and municipal plaque is missing,Municipal Services
Park benches uprooted by vandals and thrown into the fountain pond,Municipal Services
Municipal swimming pool filtration plant broken and water turned green with algae,Municipal Services
Unauthorized advertising banners tied to public heritage clock tower,Municipal Services
Public park lawn sprinklers broken wasting water and flooding walking path,Municipal Services
Civic ward office front desk closed during designated public grievance hours,Municipal Services
Public park gazebo wooden roof damaged and ready to collapse in strong wind,Municipal Services
Municipal cemetery boundary wall collapsed allowing stray animals inside,Municipal Services
Tree uprooted by rain storm blocking access to community health dispensary,Municipal Services
Public drinking water cooler inside municipal office complex has been dead for months,Municipal Services
Vandalized community notice boards with shattered glass panes in the town center,Municipal Services
Children sand pit in park contaminated with broken glass bottles and trash,Municipal Services
Public auditorium acoustic panels falling off during municipal cultural events,Municipal Services
Park walking trail paver stones displaced by large banyan tree roots,Municipal Services
Solar lighting poles in public park stolen and battery boxes vandalized,Municipal Services
Municipal ward office public complaint register missing from the counter,Municipal Services
Rotting branches left across the promenade after municipal tree trimming crew left,Municipal Services
Senior citizens resting shelter in garden has broken seats and no ceiling fan,Municipal Services
"Fountain in central traffic island dry, full of weeds and municipal lights broken",Municipal Services
Broken security fence around municipal nursery allowing unauthorized encroachment,Municipal Services
Public park gate chained during official morning exercise hours by security guard,Municipal Services
Water pipe is leaking outside my house,Water
