complaint,department
Stray dog pack showing symptoms of rabies and aggressively chasing residents at the entry of Rajaji Sector 3.,Public Health
Open electric dp box on road children are playing nearby please lock it on Temple Street every evening.,Electricity
"Dear authority, concrete median road divider broken and knocked down by collision close to electricity sub-station, vehicles making dangerous unauthorized U-turns across oncoming lane. Please send team as soon as possible.",Traffic
urgent trafic signl not workin huge jam at chawk Defence Enclave near temple road,Traffic
"Complaining for the third time, unannounced power blackout lasting over 14 hours in extreme summer heat near Vivekananda Colony main gate, senior citizens and infants facing severe distress. Please send team as soon as possible.",Electricity
Immediate intervention needed! absence of speed limit signs and rumble strips near school zone crossing at Ward 175! It is speeding heavy vehicles endangering crossing schoolchildren. Immediate action requested.,Traffic
Open gym machines in garden are rusted and jammed not moving at all near Rajaji Sector 3 main gate since past 10 days.,Municipal Services
"Due to commercial hotel dumping grease, oil, and spoiled food into open corner near central vegetable market, it is grease attracting large rodents and creating slippery mess.",Sanitation
Pothole depth is more than 1 foot any time major accident can happen between Bhavani Nagar and Collectorate Circle since morning.,Roads
"In Indira Gandhi Colony Ward 74, road is fully damaged and full of big potholes after last rain. Very difficult situation.",Roads
Drainage smell is terrible in our lane please clean the gutter since yesterday on NH Bypass Service Road. High danger.,Drainage
"Sir, park swings are broken iron slide has sharp cut children getting hurt at Market Four Roads. Nobody is responding.",Municipal Services
Critical danger: collapsed retaining edge along road margin between Balaji Layout and Old Post Office Junction! It is risk of road shoulder caving into adjacent ravine. Immediate action requested.,Roads
Drinking water is coming dirty and smelling like drainage on Station Approach Road since yesterday.,Water
"In Netaji Nagar Ward 27, road sign is hidden behind tree branches motorists missing the turn from last 3 days. Very difficult situation.",Traffic
"In Shastri Nagar Ward 61, phase missing in our house only half lights working please fix fuse since past 10 days. Very difficult situation.",Electricity
Water pressure is very low not even filling one bucket in 1 hour since past 10 days at University Cross. High danger.,Water
"Kindly fix this problem, slippery oil and gravel mix spread across asphalt surface in Vidya Nagar, frequent skidding accidents reported. Please send team as soon as possible.",Roads
"Complaint regarding there is a dead dog carcass rotting on the roadside for three days on Station Approach Road, Ward 60. This is insects swarming and foul stench spreading across 200 meters. Kindly take remedial action.",Sanitation
"Near church square, road sign is hidden behind tree branches motorists missing the turn. Kindly resolve.",Traffic
"Sir, recently road was laid now fully broken and stones coming out along 80 Feet Road. Nobody is responding.",Roads
"Immediate intervention needed! vegetable and fish market waste rotting in open open drains and road shoulders between Adarsh Layout and Old Post Office Junction! It is attracting hundreds of stray pigs, crows, and flies. Immediate action requested.",Sanitation
"Street light is not working in our lane full dark at night on Ring Road, Ward 198 since past 10 days.",Electricity
Extremely hazardous condition: boundary wall of municipal cemetery collapsed allowing stray animals inside at Ward 25! It is desecration of graves and lack of basic civic dignity. Immediate action requested.,Municipal Services
"Shock is coming from street light pole when touching it very scary at the entry of Surya Nagar Ward 12, please take action immediately.",Electricity
urgent ward ofis offical not comming for publik complant Santosh Nagar near industrial estate gate,Municipal Services
plz help spid braker iron rod exposd dangerous for bikes on Bypass Road,Roads
"Park walking track is broken senior citizens falling down daily for past one week on Station Approach Road, Ward 88. High danger.",Municipal Services
"Between ashok vihar phase 2 and highway junction, storm felled a big tree across lane please send municipal chainsaw team. Kindly resolve.",Municipal Services
"At university cross, shock is coming from street light pole when touching it very scary. Kindly resolve.",Electricity
"Drinking water is coming dirty and smelling like drainage close to community hall, please take action immediately.",Water
No water coming in taps since last 4 days kindly supply tanker at Bypass Intersection since yesterday.,Water
No water coming in taps since last 4 days kindly supply tanker since yesterday right in front of Railway Staff Colony. High danger.,Water
