complaint,department
Citizens facing acute problem because there is a swarm of honeybees built massive hive on public walkway tree at the entry of Postal Layout. This is multiple pedestrians stung including school children. Kindly take remedial action.,Public Health
wter presure to low tps runing dry pleas help near temple road Link Road,Water
"Worst road condition not even able to walk properly behind District Veterinary Hospital, please take action immediately.",Roads
"Complaining for the third time, stagnant green slime water pooled in empty construction basement along Ring Road, acting as massive breeding nursery for vector-borne disease mosquitoes. Please send team as soon as possible.",Public Health
"Hello civic team, hazardous biomedical waste including syringes and bandages dumped in open plot at the entry of Mahalakshmi Layout, severe biohazard threat to neighborhood children. Please send team as soon as possible.",Sanitation
"Near adarsh layout main gate, voltage is very low fan is not running fridge making weird sound. Kindly resolve.",Electricity
"Sir, no dustbin provided in our market area people throwing waste on street between Kuvempu Nagar and Highway Junction. Nobody is responding.",Sanitation
urgent rad suface totly brokn vehicle geting damag Bhavani Nagar near rotary circle,Roads
Open slaughter of animals in street blood running on road very unhygienic opposite flyover landing since past 10 days.,Public Health
"Huge crater right in the middle of the road on Temple Street, Ward 191.",Roads
"In Adarsh Layout Ward 6, dustbin is totally overflowing dogs spreading trash everywhere after last rain. Very difficult situation.",Sanitation
"Drainage outfall into main canal blocked by collapsed retaining wall right in front of Maternity Clinic, backwater flooding low-lying residential slums.",Drainage
ded animal dog lying on roadd please remuv it near junction roundabout College Road,Sanitation
"On link road, underpass is flooded with dirty water cars getting stuck in water. Kindly resolve.",Drainage
Serious public grievance: there is a underground electrical power cable fault plunging entire block into darkness at the entry of Kuvempu Nagar. This is business shops and residential units without electricity. Kindly take remedial action.,Electricity
"Electric shock felt when touching municipal streetlight iron pole in Postal Layout, earthing defect current leaking into metallic body.",Electricity
Open gym machines in garden are rusted and jammed not moving at all at the entry of Green Glen Layout for past one week.,Municipal Services
urgent publk toilt is verry dirti no watr smeling awful Defence Enclave near rotary circle,Public Health
"No action taken so far, low-hanging service electricity wire drooping across road carriage on Service Lane, trucks and double-decker buses getting caught in cables. Please send team as soon as possible.",Electricity
"Sharp stones and unrolled road ballast scattered across lane outside Taluk Office, hazardous for cyclists and pedestrians.",Roads
Phase missing in our house only half lights working please fix fuse at Ward 188 every evening.,Electricity
"Sir, broken manhole slab car wheel got stuck please replace cover right in front of District Veterinary Hospital. Nobody is responding.",Drainage
Municipal ward office staff not available during public complaint hours at University Cross since past 10 days.,Municipal Services
Urgent attention required: there is a underground drinking water main leaking continuously near post office. This is water pooling on surface while taps remain completely dry. Kindly take remedial action.,Water
"Right in front of ration shop, speed breaker warning sign missing drivers jumping speed breaker at high speed. Kindly resolve.",Traffic
"In Vinayaka Nagar Ward 59, open gym machines in garden are rusted and jammed not moving at all since morning. Very difficult situation.",Municipal Services
Traffic police needed at circle during school hours heavy jam near central vegetable market since two weeks.,Traffic
plz help to mny mosquitos dangue spreding plz du fogin on Station Road,Public Health
"Opposite sbi atm, broken manhole slab car wheel got stuck please replace cover. Kindly resolve.",Drainage
"In Bhavani Nagar Ward 86, road sign is hidden behind tree branches motorists missing the turn since two weeks. Very difficult situation.",Traffic
Critical danger: drainage desilting sludge left piled on roadside instead of being removed outside Kendriya Vidyalaya! It is drying sewage sludge washing back into drain with next rain. Immediate action requested.,Drainage
Electric wire is hanging very low anyone can get current shock since two weeks behind Sub-Registrar Office. High danger.,Electricity
Chemical smoke and bad smell coming from factory at night cannot breathe from last 3 days opposite clock tower. High danger.,Public Health
"In Shastri Nagar Ward 33, municipal ward office staff not available during public complaint hours since past 10 days. Very difficult situation.",Municipal Services
urgent watr loging knee dep aftr smal rain no drange outlt Teachers Colony near district library,Drainage
"Sir, water supply timing is very irregular please give water on fixed schedule at Ward 108. Nobody is responding.",Water
"Sir, transformer giving big blast sound and sparks falling down along Market Road. Nobody is responding.",Electricity
Very serious hazard: mud and silt coming through kitchen taps after water line repair between Green Glen Layout and Shivaji Circle! It is sediment choking domestic water filters. Immediate action requested.,Water
"Near central vegetable market, sewage line is choked toilets are overflowing in ground floor flats. Kindly resolve.",Drainage
"Sir, hotel throwing rotten food and chicken waste attracting flies and rats along 6th Cross Avenue. Nobody is responding.",Public Health
"Sir, transformer giving big blast sound and sparks falling down at the entry of Vikas Enclave. Nobody is responding.",Electricity
"Hotel throwing rotten food and chicken waste attracting flies and rats since morning on Station Approach Road, Ward 33. High danger.",Public Health
"Worst road condition not even able to walk properly at Ward 6, please take action immediately.",Roads
"Due to boundary wall of municipal cemetery collapsed allowing stray animals inside at Ward 21, it is desecration of graves and lack of basic civic dignity.",Municipal Services
"In Teachers Colony Ward 195, our ward getting only 20 mins water while other areas getting 2 hours from last 3 days. Very difficult situation.",Water
"Complaining for the third time, boundary wall of municipal cemetery collapsed allowing stray animals inside near Bhavani Nagar main gate, desecration of graves and lack of basic civic dignity. Please send team as soon as possible.",Municipal Services
Public park gate is broken drunkards entering at night and breaking benches since yesterday opposite post office. High danger.,Municipal Services
Crematorium furnace not working people waiting with dead body in grief near bus stop since morning.,Municipal Services
"Drinking water contaminated with sewage smell and black particles between Vinayaka Nagar and Ambedkar Chowk, several residents suffering from stomach infections.",Water
"In Telecom Colony Ward 143, electric pole is bent dangerously can fall any time please remove since morning. Very difficult situation.",Electricity
Contaminated water from burst sewage line seeping into shallow drinking wells at Patel Chowk.,Public Health
"In Bhavani Nagar Ward 91, road has caved in middle of road heavy vehicles getting stuck after last rain. Very difficult situation.",Roads
Fish market waste thrown on road intolerable rotten stench from last 3 days near post office. High danger.,Sanitation
"Hotel throwing rotten food and chicken waste attracting flies and rats at Patel Chowk, please take action immediately.",Public Health
"No action taken so far, municipal swimming pool filtration plant broken with green algae bloom along Hospital Road, water turned toxic and facility shut down for months. Please send team as soon as possible.",Municipal Services
"Hello civic team, drainage outfall into main canal blocked by collapsed retaining wall near Defence Enclave main gate, backwater flooding low-lying residential slums. Please send team as soon as possible.",Drainage
Huge pit on road no warning board kept very dangerous at night since two weeks in Adarsh Layout. High danger.,Roads
Open drain in front of our gate school children can fall inside right in front of Ration Shop for past one week.,Drainage
"Please help, illegal sale of stale, artificially colored food items outside school gate outside Fish Market Yard, children falling sick with acute abdominal cramps. Please send team as soon as possible.",Public Health
"In Vidya Nagar Ward 71, broken manhole slab car wheel got stuck please replace cover after last rain. Very difficult situation.",Drainage
Critical danger: overhead jumper wire disconnected on utility pole causing partial blackout along Station Road! It is half the residential colony in darkness. Immediate action requested.,Electricity
"Sir, public toilet is filthy and overflowing nobody cleaning it since weeks close to junction roundabout. Nobody is responding.",Public Health
Urgent attention required: there is a municipal ward administrative office closed during designated public grievance hours right in front of ESI Hospital. This is citizens standing in queue for hours without staff. Kindly take remedial action.,Municipal Services
crematrium furnas out of ordr pleas fix imedatly in Netaji Nagar ward 38,Municipal Services
"Due to temporary electric wire hanging without insulation across open footpath near Vikas Enclave main gate, it is grave hazard during rain puddles.",Electricity
Urgent! Major emergency: severely cracked asphalt web expanding across both lanes at Ashok Pillar Crossing! It is road surface breaking down rapidly. Immediate action requested.,Roads
plz help signl timr is stck on red plese repare fast on Main Road,Traffic
Public safety at severe risk: open garbage dump attracting thousands of bluebottle flies entering kitchens right in front of Civil Court! It is cholera and dysentery risk in slum settlement. Immediate action requested.,Public Health
"signl timr is stck on red plese repare fast near fire station 4th Cross, 2nd Main",Traffic
"Sir, pothole depth is more than 1 foot any time major accident can happen near Kasturba Extension main gate. Nobody is responding.",Roads
"On college road, road sign is hidden behind tree branches motorists missing the turn. Kindly resolve.",Traffic
"Sunken utility trench running across the entire roadway in Ramakrishna Puram, causing sudden violent jerks to vehicles.",Roads
"In Kasturba Extension Ward 58, main water pipe is broken drinking water running on road wastefully every evening. Very difficult situation.",Water
"Sir, too many mosquitoes in our area dengue cases increasing please fog outside Civil Court. Nobody is responding.",Public Health
"Hotel throwing rotten food and chicken waste attracting flies and rats on Market Road, Ward 26, please take action immediately.",Public Health
Immediate intervention needed! huge dried-up eucalyptus tree leaning precariously over residential house at the entry of Kuvempu Nagar! It is branches ready to crush roof during impending monsoon storm. Immediate action requested.,Municipal Services
plz help stry dogs bitng peple agreshive paks kindly cach on Service Lane,Public Health
"Due to open garbage dump attracting thousands of bluebottle flies entering kitchens close to clock tower, it is cholera and dysentery risk in slum settlement.",Public Health
Colony borewell motor spoiled please send mechanic urgently since morning close to flyover landing. High danger.,Water
Tap water is full yellow color cannot drink or use for cooking between Shastri Nagar and Highway Junction since yesterday.,Water
"In Vikas Enclave Ward 170, vehicles parked illegally on both sides of road blocking bus movement since past 10 days. Very difficult situation.",Traffic
Water supply timing is very irregular please give water on fixed schedule since yesterday at Ward 108. High danger.,Water
"In Ramakrishna Puram Ward 51, gutters are fully blocked with mud road is flooded with knee deep water since past 10 days. Very difficult situation.",Drainage
"People throwing garbage bags on vacant plot creating mini dumpyard outside Govt Girls Hostel, please take action immediately.",Sanitation
spid braker iron rod exposd dangerous for bikes ward 197 since 2 days kindly fix,Roads
plz help powrcut since 12 hrs no electrsity in ward on 6th Cross Avenue,Electricity
Complaint regarding there is a industrial chemical effluent being discharged into open residential storm canal at Ward 118. This is acrid fumes causing respiratory distress and eye irritation. Kindly take remedial action.,Public Health
Worst road condition not even able to walk properly every evening on Ring Road. High danger.,Roads
"Complaining for the third time, roadside gutter wall broken causing sewage to seep into adjacent soil between Kuvempu Nagar and Shivaji Circle, eroding the road base and causing asphalt edge to collapse. Please send team as soon as possible.",Drainage
crematrium furnas out of ordr pleas fix imedatly near electricity sub-station Ring Road,Municipal Services
Transformer giving big blast sound and sparks falling down behind Ward Office after last rain.,Electricity
"Sir, electric pole is bent dangerously can fall any time please remove at Old Post Office Junction. Nobody is responding.",Electricity
sewer lin blokd toilts runing bckward kindly clen near district library Inner Circular Road,Drainage
Please resolve issue where there is a missing reflective cat-eyes and lane divider markings on unlit bypass road on Hospital Road. This is drivers struggling to judge lane boundaries in fog and dark. Kindly take remedial action.,Traffic
"Monsoon drain blocked causing rainwater to flood into ground floor homes right in front of Co-operative Bank, furniture, groceries, and household goods submerged in sewage water.",Drainage
Public park gate is broken drunkards entering at night and breaking benches between Rajaji Sector 3 and Ashok Pillar Crossing after last rain.,Municipal Services
"Transformer giving big blast sound and sparks falling down near bus terminus, please take action immediately.",Electricity
"Voltage is very low fan is not running fridge making weird sound at the entry of Surya Nagar Ward 12, please take action immediately.",Electricity
electrik wir cut and hangin dngrously on stret ward 78 since 2 days kindly fix,Electricity
Recently road was laid now fully broken and stones coming out opposite post office from last 3 days.,Roads
"In Green Glen Layout Ward 129, street light is not working in our lane full dark at night since morning. Very difficult situation.",Electricity
sewer lin blokd toilts runing bckward kindly clen near bus stop College Road,Drainage
Underground electrical power cable fault plunging entire block into darkness outside Fire Brigade Station.,Electricity
"In indira gandhi colony, street light burning in afternoon time and turning off at 7 PM night. Kindly resolve.",Electricity
"Sir, recently road was laid now fully broken and stones coming out at the entry of Kasturba Extension. Nobody is responding.",Roads
"Due to multiple deep potholes spanning the entire width of lane outside City Library, it is traffic forced to crawl at 5 km/h.",Roads
"Sir, public park gate is broken drunkards entering at night and breaking benches near Netaji Nagar main gate. Nobody is responding.",Municipal Services
Shade gazebo roof in municipal rose garden collapsed under rain weight in Vikas Enclave.,Municipal Services
"Opposite industrial estate gate, manhole cover is missing open hole on road very dangerous in night. Kindly resolve.",Drainage
Civic issue reported: there is a overhead jumper wire disconnected on utility pole causing partial blackout between Santosh Nagar and Collectorate Circle. This is half the residential colony in darkness. Kindly take remedial action.,Electricity
It is brought to municipal notice that there is a drain grate covered with asphalt during hasty road resurfacing work opposite mosque corner. This is rainwater has no entry point into storm drainage network. Kindly take remedial action.,Drainage
trnsfrmer spakring big blast noiz plz snd elctrician in Telecom Colony ward 70,Electricity
Sanitation auto not coming to our street trash piled up in homes since past 10 days near railway level crossing. High danger.,Sanitation
"Requesting immediate action as there is a foul, nauseating stench from illegal poultry processing unit near residential school opposite overhead water tank. This is students complaining of severe headaches and vomiting. Kindly take remedial action.",Public Health
"Behind urban health post, dirty open drain next to school children getting sick frequently. Kindly resolve.",Public Health
"Deep ruts formed by overloaded trucks on hot asphalt on Market Road, Ward 93.",Roads
"Due to water supply duration reduced to just 15 minutes every alternate day opposite church square, it is insufficient volume to meet basic household drinking needs.",Water
drnking watr not comming in taps since 3 days near service road turn Ring Road,Water
urgent ovrflowin dustbin dogs scatring west on rad Ramakrishna Puram near slaughterhouse cross,Sanitation
"Behind urban health post, public toilet is filthy and overflowing nobody cleaning it since weeks. Kindly resolve.",Public Health
Water supply timing is very irregular please give water on fixed schedule since morning outside State Transport Depot. High danger.,Water
"In Vinayaka Nagar Ward 48, underpass is flooded with dirty water cars getting stuck in water since morning. Very difficult situation.",Drainage
"In kuvempu nagar, too many mosquitoes in our area dengue cases increasing please fog. Kindly resolve.",Public Health
Stray dogs are biting people on street please catch them urgently after last rain between Green Glen Layout and Indira Circle. High danger.,Public Health
"Between tilak road extension and patel chowk, power cut since morning no current in our whole colony. Kindly resolve.",Electricity
Immediate intervention needed! traffic CCTV surveillance camera dangling by wire from signal pole at Ambedkar Chowk! It is equipment knocked down by oversized container truck. Immediate action requested.,Traffic
"In Santosh Nagar Ward 55, no dustbin provided in our market area people throwing waste on street since two weeks. Very difficult situation.",Sanitation
"Hello civic team, deep ruts formed by overloaded trucks on hot asphalt opposite bazaar circle, making bike handling extremely unstable. Please send team as soon as possible.",Roads
Auto drivers refusing to come because of pathetic road condition along GIDC Road since two weeks.,Roads
Street light is not working in our lane full dark at night outside Fire Brigade Station for past one week.,Electricity
"Power cut since morning no current in our whole colony close to crematorium ground, please take action immediately.",Electricity
Erratic water supply timing releasing water at 2:30 am without notice close to primary health centre.,Water
"Sir, people throwing garbage bags on vacant plot creating mini dumpyard near Pragati Colony main gate. Nobody is responding.",Sanitation
"Due to tree branches heavily tangled with bare 11kV electrical conductors between Kasturba Extension and Station T-Junction, it is frequent sparks and localized power tripping during breeze.",Electricity
"Pothole depth is more than 1 foot any time major accident can happen right in front of Ward Office, please take action immediately.",Roads
"Traffic signal is not working big traffic jam at junction on Bypass Road, Ward 164 after last rain.",Traffic
Too many mosquitoes in our area dengue cases increasing please fog for past one week close to civil hospital gate. High danger.,Public Health
"Right in front of govt girls hostel, garbage truck leaking dirty black liquid on entire road smelling awful. Kindly resolve.",Sanitation
"Sir, our ward getting only 20 mins water while other areas getting 2 hours close to grain mandi. Nobody is responding.",Water
"Public library reading hall ceiling leaking heavily during rain on Ring Road, Ward 91.",Municipal Services
"Respected sir, dumped rotten grain and spoiled potatoes producing noxious fermentation gases along Station Approach Road, severe health risk to residents with respiratory conditions. Please send team as soon as possible.",Public Health
"In Vikas Enclave Ward 193, plz repair this road immediately bike riders falling daily since yesterday. Very difficult situation.",Roads
"Rusted bottom of street electric pole ready to snap at base at the entry of Vidya Nagar, pole supported only by tension of overhead wire cables.",Electricity
Disaster waiting to happen: unauthorized pig and cattle rearing in residential layout creating filthy unhygienic conditions in Defence Enclave! It is tick infestation and intolerable dung odor spreading. Immediate action requested.,Public Health
"At ward 127, no water coming in taps since last 4 days kindly supply tanker. Kindly resolve.",Water
"Municipal ward office staff not available during public complaint hours opposite grain mandi, please take action immediately.",Municipal Services
"Colony borewell motor spoiled please send mechanic urgently on Cross Road 4, please take action immediately.",Water
"Due to municipal community hall online booking portal showing payment debited but booking failed along Market Road, it is citizens losing money with no confirmation.",Municipal Services
"On main road, ward 56, chemical smoke and bad smell coming from factory at night cannot breathe. Kindly resolve.",Public Health
Chemical smoke and bad smell coming from factory at night cannot breathe since past 10 days near electricity sub-station. High danger.,Public Health
"In Balaji Layout Ward 117, garbage is not being lifted since one week huge smell coming since yesterday. Very difficult situation.",Sanitation
Extremely hazardous condition: broken municipal air release valve spraying drinking water into air outside City Library! It is surrounding properties getting waterlogged with clean water. Immediate action requested.,Water
"Open slaughter of animals in street blood running on road very unhygienic at Gandhi Circle, please take action immediately.",Public Health
deep pthle after rain two wheeler skiding daily in Vivekananda Colony ward 91,Roads
urgent drnking watr not comming in taps since 3 days Indira Gandhi Colony near metro pillar 142,Water
Immediate intervention needed! heritage public clock tower clock hands broken and dial vandalized at the entry of Telecom Colony! It is historical civic monument in complete disrepair. Immediate action requested.,Municipal Services
"Voltage is very low fan is not running fridge making weird sound on Station Approach Road, Ward 92 since yesterday.",Electricity
plz help trnsfrmer spakring big blast noiz plz snd elctrician on Market Road,Electricity
"In Defence Enclave Ward 48, no zebra crossing for pedestrians impossible to cross this wide road since two weeks. Very difficult situation.",Traffic
"Hello civic team, broken municipal air release valve spraying drinking water into air near bus stop, surrounding properties getting waterlogged with clean water. Please send team as soon as possible.",Water
"No dustbin provided in our market area people throwing waste on street between Kuvempu Nagar and Highway Junction, please take action immediately.",Sanitation
"Between sri krishna layout and nehru roundabout, traffic signal is not working big traffic jam at junction. Kindly resolve.",Traffic
dividr cut made illeagli bikes crosing dngrously in Vikas Enclave ward 17,Traffic
Road sign is hidden behind tree branches motorists missing the turn since morning at the entry of Sri Krishna Layout. High danger.,Traffic
"Due to traffic diversion sign boards left on roadway weeks after road work ended at Ward 191, it is creating unnecessary bottleneck and driver confusion.",Traffic
Requesting immediate action as there is a foul kerosene-like chemical smell in municipal tap water behind Taluk Office. This is drinking water suspected to be chemically polluted. Kindly take remedial action.,Water
urgent watr loging knee dep aftr smal rain no drange outlt Tilak Road Extension near church square,Drainage
"In Defence Enclave Ward 50, traffic signal is not working big traffic jam at junction since yesterday. Very difficult situation.",Traffic
"Cemetery boundary wall fell down stray dogs entering graveyard near Surya Nagar Ward 12 main gate, please take action immediately.",Municipal Services
"Opposite church square, yellow blinker light not working at accident prone cross road. Kindly resolve.",Traffic
Open electric dp box on road children are playing nearby please lock it since morning behind State Transport Depot. High danger.,Electricity
"Outdoor open gym equipment in public park completely rusted and jammed opposite town hall, bearings seized and metal frame loose at concrete foundation.",Municipal Services
Open drain in front of our gate school children can fall inside right in front of Ward Office since yesterday.,Drainage
"Dear authority, community drinking water cooler unit out of order and dry along Church Road, daily commuters and pedestrians left without water in heat. Please send team as soon as possible.",Water
"Underground drinking water main leaking continuously outside Sub-Registrar Office, water pooling on surface while taps remain completely dry.",Water
"Illegal burning of discarded rubber tires and wire cables at night near Indira Gandhi Colony main gate, thick black toxic soot covering homes and clothes.",Sanitation
Please resolve issue where there is a tar washed away completely after recent downpour at Nehru Roundabout. This is creating hazardous slippery mud slush. Kindly take remedial action.,Roads
This is to report that there is a traffic signal lens covers broken with red and green lights showing together on Main Road. This is extreme confusion at major intersection. Kindly take remedial action.,Traffic
"In Vivekananda Colony Ward 147, main water pipe is broken drinking water running on road wastefully since morning. Very difficult situation.",Water
"Due to mandatory stop and directional road signs twisted and hidden by tree branches at Ward 30, it is unfamiliar drivers missing turn and driving into one-way traffic.",Traffic
"Opposite junction roundabout, phase missing in our house only half lights working please fix fuse. Kindly resolve.",Electricity
Manhole cover is missing open hole on road very dangerous in night every evening at Ward 66. High danger.,Drainage
"Due to severe corrugation and uneven road surface at Ambedkar Chowk, it is buses and autos tilting dangerously.",Roads
Extremely hazardous condition: garbage sweepers burning piles of dry leaves and plastic trash in public park at Station T-Junction! It is toxic thick smoke suffocating morning walkers and asthma patients. Immediate action requested.,Sanitation
"No action taken so far, public drinking water tap leaking non-stop 24 hours a day at Clock Tower Square, clean potable water flowing down into gutter. Please send team as soon as possible.",Water
"In Tilak Road Extension Ward 33, public toilet is filthy and overflowing nobody cleaning it since weeks every evening. Very difficult situation.",Public Health
Water meter spinning rapidly due to air pockets but delivering zero water right in front of Co-operative Bank.,Water
"Sir, fish market waste thrown on road intolerable rotten stench at Collectorate Circle. Nobody is responding.",Sanitation
"Due to community notice board glass shattered and public civic circulars torn on Ring Road, it is citizens unable to view official municipal welfare announcements.",Municipal Services
Dangerous speed breaker without white zebra stripes riders getting hurt on NH Bypass Service Road after last rain.,Roads
Street sweeping has been neglected for over a month in our sub-locality,Sanitation
"Sir, street light burning in afternoon time and turning off at 7 PM night on Cross Road 4, Ward 191. Nobody is responding.",Electricity
"No zebra crossing for pedestrians impossible to cross this wide road since morning on NH Bypass Service Road, Ward 10. High danger.",Traffic
"Massive open garbage dump accumulated on the roadside on Station Approach Road, Ward 143, stray dogs and cattle scattering rotting waste across the road.",Sanitation
"In Green Glen Layout Ward 126, park swings are broken iron slide has sharp cut children getting hurt since past 10 days. Very difficult situation.",Municipal Services
"This is to report that there is a children playground swings, slides and see-saws broken with sharp rusted metal at Ward 160. This is children getting cut and injured during play in public park. Kindly take remedial action.",Municipal Services
"In Bhavani Nagar Ward 172, storm felled a big tree across lane please send municipal chainsaw team since two weeks. Very difficult situation.",Municipal Services
Public library roof is leaking rainwater books getting ruined please repair close to community hall since yesterday.,Municipal Services
"Sir, water tanker driver demanding extra money and not giving full water on Church Road. Nobody is responding.",Water
Plz repair this road immediately bike riders falling daily opposite industrial estate gate for past one week.,Roads
"Dear authority, concrete median road divider broken and knocked down by collision close to electricity sub-station, vehicles making dangerous unauthorized U-turns across oncoming lane. Please send team as soon as possible.",Traffic
Immediate intervention needed! traffic blinker beacon at blind intersection not operating at University Cross! It is frequent T-bone vehicle collisions occurring at night. Immediate action requested.,Traffic
Our ward getting only 20 mins water while other areas getting 2 hours at Shivaji Circle since yesterday.,Water
"Missing one-way entry sign board leading to head-on gridlock on Cross Road 4, Ward 135, vehicles entering from wrong direction continuously.",Traffic
"Outside railway staff colony, drainage smell is terrible in our lane please clean the gutter. Kindly resolve.",Drainage
"Road level difference between old and new asphalt patch opposite police station, creating sharp 4-inch ridge across lane.",Roads
Open drain in front of our gate school children can fall inside near APMC market yard every evening.,Drainage
"Complaining for the third time, unannounced power blackout lasting over 14 hours in extreme summer heat near Vivekananda Colony main gate, senior citizens and infants facing severe distress. Please send team as soon as possible.",Electricity
Outdoor open gym equipment in public park completely rusted and jammed close to bus terminus.,Municipal Services
"In Pragati Colony Ward 177, underpass is flooded with dirty water cars getting stuck in water since morning. Very difficult situation.",Drainage
"Public library roof is leaking rainwater books getting ruined please repair on 100 Feet Intermediate Road, please take action immediately.",Municipal Services
ward ofis offical not comming for publik complant in Sri Krishna Layout ward 109,Municipal Services
Civic issue reported: there is a neutral wire disconnection causing dangerous 400V surge in homes in Siddhartha Nagar. This is appliances burning and smoke billowing from wall sockets. Kindly take remedial action.,Electricity
"On temple street, big dry tree branch can fall on our house roof please cut it urgently. Kindly resolve.",Municipal Services
