complaint,department
"In Surya Nagar Ward 12 Ward 112, road has caved in middle of road heavy vehicles getting stuck from last 3 days. Very difficult situation.",Roads
"plz help spid braker iron rod exposd dangerous for bikes on 4th Cross, 2nd Main",Roads
road cav in happend danger for citisens kindly fix in Defence Enclave ward 117,Roads
"Sir, road has caved in middle of road heavy vehicles getting stuck along Link Road. Nobody is responding.",Roads
"Sir, dangerous speed breaker without white zebra stripes riders getting hurt along GIDC Road. Nobody is responding.",Roads
"Huge pit on road no warning board kept very dangerous at night at the entry of Telecom Colony, please take action immediately.",Roads
plz help deep pthle after rain two wheeler skiding daily on Ring Road,Roads
rad suface totly brokn vehicle geting damag near bus stop 100 Feet Intermediate Road,Roads
"Auto drivers refusing to come because of pathetic road condition outside Fish Market Yard, please take action immediately.",Roads
"Dangerous speed breaker without white zebra stripes riders getting hurt at the entry of Ashok Vihar Phase 2, please take action immediately.",Roads
"Sharp stones and unrolled road ballast scattered across lane on Station Approach Road, hazardous for cyclists and pedestrians.",Roads
"Auto drivers refusing to come because of pathetic road condition at the entry of Telecom Colony, please take action immediately.",Roads
"Kindly fix this problem, concrete pavement slabs shattered and unevenly sunken between Kasturba Extension and University Cross, wheelchairs and prams cannot pass. Please send team as soon as possible.",Roads
"Dangerous speed breaker without white zebra stripes riders getting hurt opposite junction roundabout, please take action immediately.",Roads
"Deep trench excavated for laying cables left unpaved at Ward 15, no barricade placed and vehicles falling inside.",Roads
"Sir, worst road condition not even able to walk properly along Church Road. Nobody is responding.",Roads
"Due to sharp stones and unrolled road ballast scattered across lane near crematorium ground, it is hazardous for cyclists and pedestrians.",Roads
"In Telecom Colony Ward 103, auto drivers refusing to come because of pathetic road condition since two weeks. Very difficult situation.",Roads
Road has caved in middle of road heavy vehicles getting stuck behind City Library after last rain.,Roads
"In Sri Krishna Layout Ward 53, road has caved in middle of road heavy vehicles getting stuck for past one week. Very difficult situation.",Roads
"Sir, plz repair this road immediately bike riders falling daily on Inner Circular Road. Nobody is responding.",Roads
Dangerous speed breaker without white zebra stripes riders getting hurt since two weeks outside Taluk Office. High danger.,Roads
"Near post office, worst road condition not even able to walk properly. Kindly resolve.",Roads
"At the entry of telecom colony, huge pit on road no warning board kept very dangerous at night. Kindly resolve.",Roads
"Attention Municipal Commissioner: multiple deep potholes spanning the entire width of lane on 4th Cross, 2nd Main, Ward 166! It is traffic forced to crawl at 5 km/h. Immediate action requested.",Roads
"Sir, dangerous speed breaker without white zebra stripes riders getting hurt in Vinayaka Nagar. Nobody is responding.",Roads
"Sir, recently road was laid now fully broken and stones coming out between Kasturba Extension and Subhash Nagar Crossing. Nobody is responding.",Roads
"On ring road, huge pit on road no warning board kept very dangerous at night. Kindly resolve.",Roads
"Due to tar washed away completely after recent downpour along NH Bypass Service Road, it is creating hazardous slippery mud slush.",Roads
"In Balaji Layout Ward 129, huge pit on road no warning board kept very dangerous at night since yesterday. Very difficult situation.",Roads
Dangerous speed breaker without white zebra stripes riders getting hurt at Ashok Pillar Crossing for past one week.,Roads
"No action taken so far, footpath pavers broken, dislodged and jutting out on Main Road, Ward 108, pedestrians and senior citizens tripping constantly. Please send team as soon as possible.",Roads
Road caved in creating a 3-foot deep sinkhole near Defence Enclave main gate.,Roads
"Kindly fix this problem, multiple deep potholes spanning the entire width of lane outside ESI Hospital, traffic forced to crawl at 5 km/h. Please send team as soon as possible.",Roads
urgent deep pthle after rain two wheeler skiding daily Vivekananda Colony near bus terminus,Roads
plz help deep pthle after rain two wheeler skiding daily on 6th Cross Avenue,Roads
Auto drivers refusing to come because of pathetic road condition along Church Road after last rain.,Roads
"Sir, plz repair this road immediately bike riders falling daily opposite petrol pump. Nobody is responding.",Roads
"Auto drivers refusing to come because of pathetic road condition in Green Glen Layout, please take action immediately.",Roads
"Due to slippery oil and gravel mix spread across asphalt surface behind Fish Market Yard, it is frequent skidding accidents reported.",Roads
urgent spid braker iron rod exposd dangerous for bikes Bhavani Nagar near community hall,Roads
"Complaining for the third time, substandard patch work washed away leaving larger holes on 4th Cross, 2nd Main, road condition worse than before repair. Please send team as soon as possible.",Roads
"In teachers colony, plz repair this road immediately bike riders falling daily. Kindly resolve.",Roads
huge pot hole on roadd please repaire urgently ward 179 since 2 days kindly fix,Roads
spid braker iron rod exposd dangerous for bikes in Mahalakshmi Layout ward 95,Roads
Road surface is sinking near the underground drainage manhole,Roads
urgent rad suface totly brokn vehicle geting damag Sri Krishna Layout near metro pillar 142,Roads
"Sir, road has caved in middle of road heavy vehicles getting stuck at Ward 125. Nobody is responding.",Roads
spid braker iron rod exposd dangerous for bikes in Telecom Colony ward 123,Roads
"Respected sir, deep trench excavated for laying cables left unpaved between Netaji Nagar and Bypass Intersection, no barricade placed and vehicles falling inside. Please send team as soon as possible.",Roads
"Complaining for the third time, deep ruts formed by overloaded trucks on hot asphalt along Station Approach Road, making bike handling extremely unstable. Please send team as soon as possible.",Roads
Road level difference between old and new asphalt patch at Ward 54.,Roads
"Road has caved in middle of road heavy vehicles getting stuck in Vinayaka Nagar, please take action immediately.",Roads
Auto drivers refusing to come because of pathetic road condition in Kuvempu Nagar since yesterday.,Roads
"Hello civic team, asphalt layer completely peeled off leaving sharp stones near Vikas Enclave main gate, damaging vehicle suspensions and tires. Please send team as soon as possible.",Roads
"Road level difference between old and new asphalt patch close to mosque corner, creating sharp 4-inch ridge across lane.",Roads
Pothole depth is more than 1 foot any time major accident can happen in Vidya Nagar since two weeks.,Roads
plz help deep pthle after rain two wheeler skiding daily on Service Lane,Roads
Critical danger: huge crater right in the middle of the road at Collectorate Circle! It is posing fatal risk to night motorists. Immediate action requested.,Roads
"Due to severely cracked asphalt web expanding across both lanes on College Road, Ward 32, it is road surface breaking down rapidly.",Roads
"In Ramakrishna Puram Ward 136, dangerous speed breaker without white zebra stripes riders getting hurt since two weeks. Very difficult situation.",Roads
Dangerous speed breaker without white zebra stripes riders getting hurt opposite government high school since yesterday.,Roads
"Worst road condition not even able to walk properly right in front of Fire Brigade Station, please take action immediately.",Roads
"Due to broken concrete speed breaker with exposed sharp iron rods between Vivekananda Colony and Collectorate Circle, it is puncturing tires and injuring cyclists.",Roads
Huge pit on road no warning board kept very dangerous at night from last 3 days at the entry of Green Glen Layout. High danger.,Roads
"In surya nagar ward 12, road has caved in middle of road heavy vehicles getting stuck. Kindly resolve.",Roads
Freshly laid bituminous surface crumbling within a week along Service Lane.,Roads
Entire stretch is totally unmotorable please do tarring work outside Civil Court since morning.,Roads
"Complaining for the third time, tar washed away completely after recent downpour near SBI ATM, creating hazardous slippery mud slush. Please send team as soon as possible.",Roads
"Respected sir, road shoulder eroded into a 2-foot sharp drop-off between Vinayaka Nagar and Ambedkar Chowk, cars sliding into the roadside mud ditch. Please send team as soon as possible.",Roads
Disaster waiting to happen: concrete pavement slabs shattered and unevenly sunken opposite railway station approach! It is wheelchairs and prams cannot pass. Immediate action requested.,Roads
Slippery oil and gravel mix spread across asphalt surface close to bus terminus.,Roads
"Sir, worst road condition not even able to walk properly at Patel Chowk. Nobody is responding.",Roads
Recently road was laid now fully broken and stones coming out near Kuvempu Nagar main gate after last rain.,Roads
"Respected sir, massive pothole filled with stagnant rainwater at Shivaji Circle, causing two-wheelers to slip and fall. Please send team as soon as possible.",Roads
"Serious public grievance: there is a sunken utility trench running across the entire roadway on Ring Road, Ward 167. This is causing sudden violent jerks to vehicles. Kindly take remedial action.",Roads
"Pothole depth is more than 1 foot any time major accident can happen on GIDC Road, Ward 192, please take action immediately.",Roads
Road has caved in middle of road heavy vehicles getting stuck from last 3 days in Surya Nagar Ward 12. High danger.,Roads
Road has caved in middle of road heavy vehicles getting stuck close to district library for past one week.,Roads
Road has caved in middle of road heavy vehicles getting stuck behind Railway Staff Colony since past 10 days.,Roads
spid braker iron rod exposd dangerous for bikes near APMC market yard Main Road,Roads
Pothole depth is more than 1 foot any time major accident can happen in Sri Krishna Layout after last rain.,Roads
Attention Municipal Commissioner: asphalt layer completely peeled off leaving sharp stones in Gandhi Gram! It is damaging vehicle suspensions and tires. Immediate action requested.,Roads
"Behind district veterinary hospital, worst road condition not even able to walk properly. Kindly resolve.",Roads
plz help huge pot hole on roadd please repaire urgently on Station Approach Road,Roads
road cav in happend danger for citisens kindly fix near mosque corner Market Road,Roads
Very serious hazard: loose gravel scattered all over the newly laid asphalt near rotary circle! It is two-wheelers skidding frequently on brakes. Immediate action requested.,Roads
Concrete pavement slabs shattered and unevenly sunken at the entry of Ramakrishna Puram.,Roads
"Sir, worst road condition not even able to walk properly on Market Road, Ward 40. Nobody is responding.",Roads
Worst road condition not even able to walk properly since morning on Hospital Road. High danger.,Roads
"Sir, recently road was laid now fully broken and stones coming out at Station T-Junction. Nobody is responding.",Roads
"Sir, plz repair this road immediately bike riders falling daily right in front of Civil Court. Nobody is responding.",Roads
"No action taken so far, road trench backfilled only with loose mud which has now sunken at Nehru Roundabout, causing car wheels to get stuck. Please send team as soon as possible.",Roads
"On ring road, ward 162, plz repair this road immediately bike riders falling daily. Kindly resolve.",Roads
Road level difference between old and new asphalt patch at the entry of Bhavani Nagar.,Roads
"In Vidya Nagar Ward 85, road is fully damaged and full of big potholes from last 3 days. Very difficult situation.",Roads
Worst road condition not even able to walk properly near pedestrian subway after last rain.,Roads
Auto drivers refusing to come because of pathetic road condition outside Civil Court for past one week.,Roads
"In Netaji Nagar Ward 73, road has caved in middle of road heavy vehicles getting stuck from last 3 days. Very difficult situation.",Roads
"Sir, plz repair this road immediately bike riders falling daily close to railway station approach. Nobody is responding.",Roads
"Sir, road has caved in middle of road heavy vehicles getting stuck on Inner Circular Road, Ward 91. Nobody is responding.",Roads
"Road shoulder eroded into a 2-foot sharp drop-off right in front of Railway Staff Colony, cars sliding into the roadside mud ditch.",Roads
Huge pit on road no warning board kept very dangerous at night since two weeks near primary health centre. High danger.,Roads
"In Postal Layout Ward 174, road has caved in middle of road heavy vehicles getting stuck after last rain. Very difficult situation.",Roads
Road depression is causing heavy vehicles to tilt dangerously near the market,Roads
urgent rad suface totly brokn vehicle geting damag Defence Enclave near church square,Roads
Sharp road drop-off on the shoulder without any barrier or warning sign,Roads
"Severely cracked asphalt web expanding across both lanes between Gandhi Gram and Clock Tower Square, road surface breaking down rapidly.",Roads
"Sir, dangerous speed breaker without white zebra stripes riders getting hurt at Clock Tower Square. Nobody is responding.",Roads
"In Teachers Colony Ward 30, plz repair this road immediately bike riders falling daily since morning. Very difficult situation.",Roads
"Due to road level difference between old and new asphalt patch near Pragati Colony main gate, it is creating sharp 4-inch ridge across lane.",Roads
"Due to road level difference between old and new asphalt patch at Clock Tower Square, it is creating sharp 4-inch ridge across lane.",Roads
Plz repair this road immediately bike riders falling daily since yesterday close to railway station approach. High danger.,Roads
"Plz repair this road immediately bike riders falling daily opposite industrial estate gate, please take action immediately.",Roads
"Sir please look into this, road caved in creating a 3-foot deep sinkhole on Service Lane, half the carriage width blocked dangerously. Please send team as soon as possible.",Roads
"Recently road was laid now fully broken and stones coming out on Inner Circular Road, Ward 39, please take action immediately.",Roads
urgent road cav in happend danger for citisens kindly fix Vikas Enclave near police station,Roads
Auto drivers refusing to come because of pathetic road condition since yesterday at Ashok Pillar Crossing. High danger.,Roads
Immediate intervention needed! deep trench excavated for laying cables left unpaved at the entry of Adarsh Layout! It is no barricade placed and vehicles falling inside. Immediate action requested.,Roads
Road trench backfilled only with loose mud which has now sunken at Nehru Roundabout.,Roads
"Sharp stones and unrolled road ballast scattered across lane outside Taluk Office, hazardous for cyclists and pedestrians.",Roads
urgent deep pthle after rain two wheeler skiding daily Postal Layout near town hall,Roads
road cav in happend danger for citisens kindly fix near crematorium ground Main Road,Roads
Dangerous speed breaker without white zebra stripes riders getting hurt since past 10 days opposite temple road. High danger.,Roads
"Severe corrugation and uneven road surface in Vikas Enclave, buses and autos tilting dangerously.",Roads
"Close to town hall, road is fully damaged and full of big potholes. Kindly resolve.",Roads
road cav in happend danger for citisens kindly fix in Gandhi Gram ward 31,Roads
Huge pit on road no warning board kept very dangerous at night since two weeks in Adarsh Layout. High danger.,Roads
Extremely hazardous condition: substandard patch work washed away leaving larger holes along Temple Street! It is road condition worse than before repair. Immediate action requested.,Roads
Attention Municipal Commissioner: deep trench excavated for laying cables left unpaved in Ramakrishna Puram! It is no barricade placed and vehicles falling inside. Immediate action requested.,Roads
Dangerous speed breaker without white zebra stripes riders getting hurt since morning along GIDC Road. High danger.,Roads
"Sir, huge pit on road no warning board kept very dangerous at night near primary health centre. Nobody is responding.",Roads
"Sir, auto drivers refusing to come because of pathetic road condition near rotary circle. Nobody is responding.",Roads
Speed breaker is broken and sharp metal rods are exposed on school road,Roads
"Sir, plz repair this road immediately bike riders falling daily on Ring Road, Ward 162. Nobody is responding.",Roads
Urgent! Major emergency: loose gravel scattered all over the newly laid asphalt opposite service road turn! It is two-wheelers skidding frequently on brakes. Immediate action requested.,Roads
"Due to unmarked illegal cement speed ramp constructed by locals in Rajaji Sector 3, it is vehicles bottoming out and riders falling.",Roads
rad suface totly brokn vehicle geting damag in Indira Gandhi Colony ward 143,Roads
"Sir, huge pit on road no warning board kept very dangerous at night at Ward 35. Nobody is responding.",Roads
"Outside sub-registrar office, auto drivers refusing to come because of pathetic road condition. Kindly resolve.",Roads
Critical danger: slippery oil and gravel mix spread across asphalt surface near grain mandi! It is frequent skidding accidents reported. Immediate action requested.,Roads
"In Vikas Enclave Ward 62, road is fully damaged and full of big potholes since morning. Very difficult situation.",Roads
"Substandard patch work washed away leaving larger holes on 100 Feet Intermediate Road, road condition worse than before repair.",Roads
"Please help, footpath pavers broken, dislodged and jutting out on College Road, pedestrians and senior citizens tripping constantly. Please send team as soon as possible.",Roads
Entire stretch is totally unmotorable please do tarring work since yesterday at the entry of Vivekananda Colony. High danger.,Roads
"Close to railway station approach, entire stretch is totally unmotorable please do tarring work. Kindly resolve.",Roads
plz help deep pthle after rain two wheeler skiding daily on NH Bypass Service Road,Roads
"Sir, plz repair this road immediately bike riders falling daily near Santosh Nagar main gate. Nobody is responding.",Roads
road cav in happend danger for citisens kindly fix near fire station 6th Cross Avenue,Roads
Multiple deep potholes spanning the entire width of lane at Ward 155.,Roads
"On church road, ward 197, dangerous speed breaker without white zebra stripes riders getting hurt. Kindly resolve.",Roads
"Due to sunken utility trench running across the entire roadway outside Kendriya Vidyalaya, it is causing sudden violent jerks to vehicles.",Roads
"Due to road caved in creating a 3-foot deep sinkhole behind ESI Hospital, it is half the carriage width blocked dangerously.",Roads
"Kindly fix this problem, footpath pavers broken, dislodged and jutting out in Adarsh Layout, pedestrians and senior citizens tripping constantly. Please send team as soon as possible.",Roads
plz help huge pot hole on roadd please repaire urgently on 100 Feet Intermediate Road,Roads
Pothole depth is more than 1 foot any time major accident can happen along Station Approach Road since past 10 days.,Roads
Road is fully damaged and full of big potholes since yesterday at Nehru Roundabout. High danger.,Roads
"In Teachers Colony Ward 66, road is fully damaged and full of big potholes since past 10 days. Very difficult situation.",Roads
Dangerous speed breaker without white zebra stripes riders getting hurt on Church Road since morning.,Roads
"It is brought to municipal notice that there is a substandard patch work washed away leaving larger holes on Station Road, Ward 59. This is road condition worse than before repair. Kindly take remedial action.",Roads
It is brought to municipal notice that there is a massive pothole filled with stagnant rainwater between Mahalakshmi Layout and Ashok Pillar Crossing. This is causing two-wheelers to slip and fall. Kindly take remedial action.,Roads
Serious public grievance: there is a missing asphalt patch around drainage manhole frame on Cross Road 4. This is protruding rim smashing car oil sumps. Kindly take remedial action.,Roads
"In Shastri Nagar Ward 143, plz repair this road immediately bike riders falling daily since past 10 days. Very difficult situation.",Roads
"Outside city library, road has caved in middle of road heavy vehicles getting stuck. Kindly resolve.",Roads
"In shastri nagar, road is fully damaged and full of big potholes. Kindly resolve.",Roads
"Due to slippery oil and gravel mix spread across asphalt surface along College Road, it is frequent skidding accidents reported.",Roads
"In Vidya Nagar Ward 14, huge pit on road no warning board kept very dangerous at night after last rain. Very difficult situation.",Roads
urgent huge pot hole on roadd please repaire urgently Ramakrishna Puram near clock tower,Roads
"Due to road caved in creating a 3-foot deep sinkhole on Church Road, it is half the carriage width blocked dangerously.",Roads
"Due to asphalt layer completely peeled off leaving sharp stones on Temple Street, it is damaging vehicle suspensions and tires.",Roads
"Sir, pothole depth is more than 1 foot any time major accident can happen right in front of Ward Office. Nobody is responding.",Roads
"Respected sir, unmarked illegal cement speed ramp constructed by locals outside Kendriya Vidyalaya, vehicles bottoming out and riders falling. Please send team as soon as possible.",Roads
"Sir please look into this, footpath pavers broken, dislodged and jutting out right in front of Maternity Clinic, pedestrians and senior citizens tripping constantly. Please send team as soon as possible.",Roads
Kindly note that there is a slippery oil and gravel mix spread across asphalt surface along Bypass Road. This is frequent skidding accidents reported. Kindly take remedial action.,Roads
"Due to deep ruts formed by overloaded trucks on hot asphalt along NH Bypass Service Road, it is making bike handling extremely unstable.",Roads
Disaster waiting to happen: loose gravel scattered all over the newly laid asphalt at Ashok Pillar Crossing! It is two-wheelers skidding frequently on brakes. Immediate action requested.,Roads
"At the entry of bhavani nagar, plz repair this road immediately bike riders falling daily. Kindly resolve.",Roads
"Due to sunken utility trench running across the entire roadway between Santosh Nagar and Ambedkar Chowk, it is causing sudden violent jerks to vehicles.",Roads
Worst road condition not even able to walk properly near crematorium ground since morning.,Roads
Temporary road patch has caved in after rainfall creating a hazard,Roads
"Sir, recently road was laid now fully broken and stones coming out at the entry of Kasturba Extension. Nobody is responding.",Roads
"In Vinayaka Nagar Ward 156, huge pit on road no warning board kept very dangerous at night since two weeks. Very difficult situation.",Roads
"Due to slippery oil and gravel mix spread across asphalt surface between Vivekananda Colony and Gandhi Circle, it is frequent skidding accidents reported.",Roads
"Road is fully damaged and full of big potholes on Ring Road, Ward 99, please take action immediately.",Roads
"Please help, huge crater right in the middle of the road in Vikas Enclave, posing fatal risk to night motorists. Please send team as soon as possible.",Roads
"Entire stretch is totally unmotorable please do tarring work close to railway station approach, please take action immediately.",Roads
"Along 100 feet intermediate road, road has caved in middle of road heavy vehicles getting stuck. Kindly resolve.",Roads
"Near civil hospital gate, huge pit on road no warning board kept very dangerous at night. Kindly resolve.",Roads
"Due to freshly laid bituminous surface crumbling within a week at Collectorate Circle, it is poor quality road construction exposed.",Roads
Immediate intervention needed! freshly laid bituminous surface crumbling within a week close to primary health centre! It is poor quality road construction exposed. Immediate action requested.,Roads
"Missing asphalt patch around drainage manhole frame at Ward 49, protruding rim smashing car oil sumps.",Roads
deep pthle after rain two wheeler skiding daily ward 145 since 2 days kindly fix,Roads
Extremely hazardous condition: severely cracked asphalt web expanding across both lanes at Patel Chowk! It is road surface breaking down rapidly. Immediate action requested.,Roads
Requesting immediate action as there is a slippery oil and gravel mix spread across asphalt surface between Defence Enclave and Subhash Nagar Crossing. This is frequent skidding accidents reported. Kindly take remedial action.,Roads
"Sir, auto drivers refusing to come because of pathetic road condition outside Sub-Registrar Office. Nobody is responding.",Roads
"Asphalt layer completely peeled off leaving sharp stones near post office, damaging vehicle suspensions and tires.",Roads
Attention Municipal Commissioner: missing asphalt patch around drainage manhole frame outside Ward Office! It is protruding rim smashing car oil sumps. Immediate action requested.,Roads
deep pthle after rain two wheeler skiding daily in Postal Layout ward 81,Roads
"In Mahalakshmi Layout Ward 161, pothole depth is more than 1 foot any time major accident can happen since past 10 days. Very difficult situation.",Roads
"Outside fire brigade station, entire stretch is totally unmotorable please do tarring work. Kindly resolve.",Roads
road cav in happend danger for citisens kindly fix ward 171 since 2 days kindly fix,Roads
road cav in happend danger for citisens kindly fix ward 53 since 2 days kindly fix,Roads
"No action taken so far, slippery oil and gravel mix spread across asphalt surface between Defence Enclave and Shivaji Circle, frequent skidding accidents reported. Please send team as soon as possible.",Roads
"Close to petrol pump, pothole depth is more than 1 foot any time major accident can happen. Kindly resolve.",Roads
"Sir, entire stretch is totally unmotorable please do tarring work at Ward 156. Nobody is responding.",Roads
Requesting immediate action as there is a huge crater right in the middle of the road near pedestrian subway. This is posing fatal risk to night motorists. Kindly take remedial action.,Roads
"Complaining for the third time, collapsed retaining edge along road margin opposite bus terminus, risk of road shoulder caving into adjacent ravine. Please send team as soon as possible.",Roads
Urgent attention required: there is a sharp stones and unrolled road ballast scattered across lane opposite primary health centre. This is hazardous for cyclists and pedestrians. Kindly take remedial action.,Roads
Pothole depth is more than 1 foot any time major accident can happen from last 3 days in Postal Layout. High danger.,Roads
deep pthle after rain two wheeler skiding daily in Defence Enclave ward 148,Roads
spid braker iron rod exposd dangerous for bikes near milk booth Church Road,Roads
road cav in happend danger for citisens kindly fix near slaughterhouse cross Main Road,Roads
"Due to freshly laid bituminous surface crumbling within a week at the entry of Rajaji Sector 3, it is poor quality road construction exposed.",Roads
"Due to severely cracked asphalt web expanding across both lanes opposite town hall, it is road surface breaking down rapidly.",Roads
"Pothole depth is more than 1 foot any time major accident can happen on Link Road, Ward 49, please take action immediately.",Roads
Entire stretch is totally unmotorable please do tarring work from last 3 days right in front of Co-operative Bank. High danger.,Roads
"In adarsh layout, huge pit on road no warning board kept very dangerous at night. Kindly resolve.",Roads
Public safety at severe risk: collapsed retaining edge along road margin near Tilak Road Extension main gate! It is risk of road shoulder caving into adjacent ravine. Immediate action requested.,Roads
deep pthle after rain two wheeler skiding daily ward 150 since 2 days kindly fix,Roads
"Complaining for the third time, tar washed away completely after recent downpour on Cross Road 4, Ward 95, creating hazardous slippery mud slush. Please send team as soon as possible.",Roads
"Entire stretch is totally unmotorable please do tarring work along Link Road, please take action immediately.",Roads
Recently road was laid now fully broken and stones coming out since morning behind Fire Brigade Station. High danger.,Roads
Entire stretch is totally unmotorable please do tarring work since morning along Link Road. High danger.,Roads
Worst road condition not even able to walk properly from last 3 days opposite bus stop. High danger.,Roads
Plz repair this road immediately bike riders falling daily since morning at Ward 126. High danger.,Roads
Entire stretch is totally unmotorable please do tarring work since past 10 days along Station Approach Road. High danger.,Roads
"Road caved in creating a 3-foot deep sinkhole opposite police station, half the carriage width blocked dangerously.",Roads
"Sir, road is fully damaged and full of big potholes on 4th Cross, 2nd Main. Nobody is responding.",Roads
rad suface totly brokn vehicle geting damag in Bhavani Nagar ward 10,Roads
huge pot hole on roadd please repaire urgently near metro pillar 142 Temple Street,Roads
Immediate intervention needed! sharp stones and unrolled road ballast scattered across lane on Inner Circular Road! It is hazardous for cyclists and pedestrians. Immediate action requested.,Roads
"Due to broken concrete speed breaker with exposed sharp iron rods behind Govt Girls Hostel, it is puncturing tires and injuring cyclists.",Roads
Citizens facing acute problem because there is a collapsed retaining edge along road margin opposite community hall. This is risk of road shoulder caving into adjacent ravine. Kindly take remedial action.,Roads
"Due to slippery oil and gravel mix spread across asphalt surface on Ring Road, Ward 83, it is frequent skidding accidents reported.",Roads
"Recently road was laid now fully broken and stones coming out near Vikas Enclave main gate, please take action immediately.",Roads
"Freshly laid bituminous surface crumbling within a week at Bypass Intersection, poor quality road construction exposed.",Roads
Attention Municipal Commissioner: concrete pavement slabs shattered and unevenly sunken close to industrial estate gate! It is wheelchairs and prams cannot pass. Immediate action requested.,Roads
deep pthle after rain two wheeler skiding daily near milk booth Link Road,Roads
urgent spid braker iron rod exposd dangerous for bikes Telecom Colony near fire station,Roads
Broken concrete speed breaker with exposed sharp iron rods opposite grain mandi.,Roads
"Sir, entire stretch is totally unmotorable please do tarring work at Ashok Pillar Crossing. Nobody is responding.",Roads
"At the entry of kasturba extension, recently road was laid now fully broken and stones coming out. Kindly resolve.",Roads
urgent deep pthle after rain two wheeler skiding daily Tilak Road Extension near industrial estate gate,Roads
Deep trench excavated for laying cables left unpaved right in front of ESI Hospital.,Roads
"Dear authority, multiple deep potholes spanning the entire width of lane behind ESI Hospital, traffic forced to crawl at 5 km/h. Please send team as soon as possible.",Roads
"Auto drivers refusing to come because of pathetic road condition on Link Road, Ward 123, please take action immediately.",Roads
Very serious hazard: massive pothole filled with stagnant rainwater right in front of Taluk Office! It is causing two-wheelers to slip and fall. Immediate action requested.,Roads
Dangerous speed breaker without white zebra stripes riders getting hurt since two weeks behind Ration Shop. High danger.,Roads
"deep pthle after rain two wheeler skiding daily near petrol pump 4th Cross, 2nd Main",Roads
"Near vivekananda colony main gate, recently road was laid now fully broken and stones coming out. Kindly resolve.",Roads
"Near green glen layout main gate, auto drivers refusing to come because of pathetic road condition. Kindly resolve.",Roads
"Footpath pavers broken, dislodged and jutting out between Ramakrishna Puram and Nehru Roundabout, pedestrians and senior citizens tripping constantly.",Roads
"Collapsed retaining edge along road margin near railway level crossing, risk of road shoulder caving into adjacent ravine.",Roads
"In Vivekananda Colony Ward 127, huge pit on road no warning board kept very dangerous at night for past one week. Very difficult situation.",Roads
"Pothole depth is more than 1 foot any time major accident can happen on GIDC Road, please take action immediately.",Roads
urgent spid braker iron rod exposd dangerous for bikes Teachers Colony near bus terminus,Roads
"Due to sharp stones and unrolled road ballast scattered across lane near Santosh Nagar main gate, it is hazardous for cyclists and pedestrians.",Roads
"Near apmc market yard, huge pit on road no warning board kept very dangerous at night. Kindly resolve.",Roads
Urgent attention required: there is a substandard patch work washed away leaving larger holes opposite APMC market yard. This is road condition worse than before repair. Kindly take remedial action.,Roads
road cav in happend danger for citisens kindly fix near bridge underpass Hospital Road,Roads
Attention Municipal Commissioner: huge crater right in the middle of the road at Ward 111! It is posing fatal risk to night motorists. Immediate action requested.,Roads
"Multiple deep potholes spanning the entire width of lane in Vidya Nagar, traffic forced to crawl at 5 km/h.",Roads
huge pot hole on roadd please repaire urgently in Rajaji Sector 3 ward 6,Roads
Public safety at severe risk: severe corrugation and uneven road surface close to slaughterhouse cross! It is buses and autos tilting dangerously. Immediate action requested.,Roads
"Sunken utility trench running across the entire roadway opposite town hall, causing sudden violent jerks to vehicles.",Roads
